id,created_at,updated_at,link_foto,link_video,nombre,tipo,descripcion,contenidos_ofensivos,contenidos_defensivos,consignas,reglas,variantes
54,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:38.609747+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p03_Cuadrados.jpg,,Cuadrados,cuadrado,"Dinámica de inicio de juego, donde se busca generar conexiones para poder progresar en ataque. Interpretar cual es el jugador libre y en que momento jugar con el. Buscar circulación entre centrales (atraer al 9 rival), utilizar al volante para rebotar, Hacer triángulo o girar. Mediante esas conexiones provocar que salte un rival desde otra línea e liberar un jugador más avanzado.","[""Mirar lejos."",""Continuidad."",""Estar en línea de pase."",""Encontrar al libre.""]","[""Check para presionar.""]","[""No jugar si es que no hay rival cerca (Atraer al rival)."",""Pase al pie correcto."",""Control con el lejano."",""Desmarcarse.""]",,"[""No hay límites de toques."",""Sacarse al 9 (eliminarlo de la presión) provocar que salte un rival desde otra línea."",""Jugar con el libre considerando cómo llegamos a el.""]"
55,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:14.494362+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p05_Dinamica_4_vs_4_C_2A.jpg,,Dinámica 4 vs 4 + C + 2A,cerrada,"En una superficie participan 2 equipos más un comodín y 2 porteros (estos últimos además de atajar también serán comodines para el equipo con posesión). El equipo con balón debe juntar 8 pases de manera seguida para luego anotar un gol en cualquiera de los arcos pequeños. El equipo defensor una vez recupere el balón puede anotar en un de los 2 arcos grandes de manera inmediata, sin la necesidad de acumular pases.","[""Mirar lejos."",""Continuidad."",""Encontrar al jugador libre."",""Estar en línea de pase.""]","[""Check para presionar."",""Presión posperdida."",""1 vs 2 (marcar a dos).""]","[""Saltar pase si es posible."",""Defensivamente marcar en rombo."",""Hacer goles.""]",,"[""No hay límites de toques."",""Ante la perdida, comodín tiene un pase para intentar recuperar.""]"
56,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:43.912813+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p06_Dinamica_4_vs_4_3_octagono_.jpg,,Dinámica 4 vs 4 + 3 (octágono),cerrada,"En una superficie de octágono se estructura un Rondo 4 vs 4 + 3 comodines, subdividido en un 4 vs 2. El equipo que tenga la posesión debe juntar la mayor cantidad de pases, trasladando el balón de una zona a otra. El equipo defensor debe presionar, recuperar el balón y anotar un gol en los arcos.","[""Mirar lejos."",""Continuidad."",""Tercer hombre."",""Estar en línea de pase."",""Pase al pie correcto.""]","[""Check para presionar."",""Presión pospérdida."",""1 vs 2 (marcar a 2).""]","[""Saltar pase si es posible."",""Jugar al lado contrario."",""No jugar si es que no hay rival cerca.""]",,"[""No hay límites de toques."",""Evitar pase en la misma línea."",""Después de dar 8 pases buscar anotar goles."",""Cambio de roles al perder la posesión.""]"
57,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:13.942326+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p07_Dinamica_4_vs_4_4C.jpg,,Dinámica 4 vs 4 + 4C,cerrada,"En una superficie rectangular participan 3 equipos. Un equipo participa de comodín con 2 jugadores por el centro y 2 en las caras cortas. Por dentro los otros 2 equipos disputan la posesión, el equipo con balón ubica 2 jugadores en las caras amplias, mientras el otro intenta recuperar en rombo.","[""Mirar lejos."",""Continuidad."",""Tercer hombre."",""Estar en línea de pase.""]","[""Check para presionar."",""Presión posperdida.""]","[""Saltar pase si es posible."",""Rebotar sin tener marca en la espalda."",""Defensivamente marcar en rombo."",""Estar perfilado para recibir.""]",,"[""No hay límites de toques."",""El equipo en posesión no puede pasar entre jugadores en la misma cara."",""Después de 3 balones interceptados realizar cambio de rol.""]"
58,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:27.368449+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p08_Dinamica_7_vs_4_Estatico_.jpg,,Dinámica 7 vs 4 (Estático),cerrada,"Una superficie de rectángulo se posicionan 2 equipos, uno en superioridad numérica y ubicados de manera posicional para dar una correcta circulación de balón. El equipo defensor debe presionar siempre en rombo con la intención de recuperar el balón.","[""Mirar lejos."",""Continuidad."",""Atraer al rival."",""Estar en línea de pase."",""Pase al pie correcto."",""Check antes de recibir.""]","[""Check para presionar."",""1 vs 2 (marcar 2)."",""Presión posperdida.""]","[""Saltar pase si es posible."",""No montarse."",""Jugar al lado contrario."",""Estar perfilado para recibir.""]",,"[""No hay límites de toques."",""Equipo que recupera debe generar 5 pases para contabilizar un gol.""]"
59,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:44.982224+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p09_Dinamica_8_vs_5_centrales_.jpg,,Dinámica 8 vs 5 (centrales),cerrada,"Dinámica diseñada para los defensas centrales quienes se ubican en los extremos de la estructura. Se posicionan 2 equipos, uno en superioridad numérica y posicional para dar correcta circulación de balón. El equipo defensor debe presionar con la intención de recuperar el balón.","[""Mirar lejos."",""Continuidad."",""Estar en línea de pase."",""Pase al pie correcto."",""Check antes de recibir.""]","[""Presión posperdida."",""Cerrar líneas de pase (equipo en inferioridad).""]","[""Saltar pase si es posible."",""No montarse."",""Jugar al lado contrario."",""Estar perfilado."",""Pase al pie correcto.""]",,"[""No hay límites de toques.""]"
60,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:16.795773+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p10_Dinamica_10_vs_5_Posicional.jpg,,Dinámica 10 vs 5 Posicional,cerrada,"Se posicionan 2 equipos, uno en amplia superioridad numérica y de manera posicional para dar una correcta circulación de balón, juntar gran cantidad de pases ante la presión rival. El equipo defensor debe presionar con la intención de recuperar el balón.","[""Mirar lejos."",""Continuidad de juego."",""Saltar pase."",""Pase al pie correcto."",""Check antes de recibir.""]","[""Rombo defensivo."",""Estar a distancia."",""Presión posperdida.""]","[""Saltar pase si es posible."",""Abrir líneas de pase."",""Atraer al rival."",""Estar perfilado.""]",,"[""No hay límites de toques."",""Las siluetas buscan cerrar líneas de pase.""]"
61,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:16.233785+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p11_Dinamica_11_vs_7_centrales_.jpg,,Dinámica 11 vs 7 (centrales),cerrada,Dinámica diseñada para los defensas centrales quienes se ubican en los extremos. Se posicionan 2 equipos en superioridad numérica posicional (2 líneas de 4 y 3 volantes) para dar correcta circulación de balón y que los centrales encuentren distintos tipos de pases ante la presión rival.,"[""Mirar lejos."",""Continuidad de juego."",""Estar en línea de pase."",""Pase al pie correcto."",""Atraer al rival."",""Entrar a conducción.""]","[""Estar distancia (marcar a 2)."",""Presión posperdida."",""Check para presionar.""]","[""Saltar pase si es posible."",""No jugar con el lateral si el rival esta cerca."",""Jugar al lado contrario."",""Estar perfilado para recibir.""]",,"[""No hay límites de toques.""]"
62,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:38.003101+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p13_Dinamica_2_vs_2_Duelos-_Transiciones_.jpg,,Dinámica 2 vs 2 (Duelos- Transiciones),abierta,Se enfrentan 2 equipos. El equipo que inicia con balón lo realiza en un 2vs1. Una vez que culmine la acción mediante un tiro al arco se reinicia el juego con el otro equipo en un 2vs2 intentando progresar en ataque culminando la jugada mediante un remate.,"[""Atacar profundidad."",""Aparecer / no estar."",""Desmarcarse.""]","[""Defender profundidad."",""Mantener distancia."",""Perfilarse.""]","[""Utilizar al AC para generar superioridad numérica y posicional."",""Saltar a presionar desde la zona que corresponde."",""No pasar de largo.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego."",""Si hay gol, inicia el equipo contrario.""]"
63,2026-07-31 16:05:32.285205+00,2026-07-31 16:50:33.971315+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p14_Dinamica_Jaula_3_vs_3.jpg,,Dinámica Jaula 3 vs 3,abierta,Se enfrentan 2 equipos. El equipo en posesión puede utilizar a jugadores en el exterior que actúan como comodines. Una vez que culmine la acción mediante un tiro al arco se reinicia el juego con el otro equipo.,"[""Atacar profundidad."",""Aparecer / no estar."",""Separarse."",""Desmarcarse.""]","[""Defender profundidad."",""Mantener distancia."",""Perfilarse.""]","[""Utilizar los comodines para generar superioridad numérica y posicional."",""Saltar a presionar desde la zona que corresponde."",""No pasar de largo.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
64,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:37.018267+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p15_Dinamica_3_vs_3_C_2A.jpg,,Dinámica 3 vs 3 + C + 2A,abierta,"Se enfrentan 2 equipos de 6 jugadores (3 por zona) + Arquero y más un comodín. El equipo en posesión intentará convertir el gol mediante constantes remates, aprovechando la superioridad generada con el comodín.","[""Remate al arco."",""Separarse."",""Aparecer / no estar.""]","[""Check para presionar."",""Mantener distancia."",""Defender el rebote.""]","[""Ofensivamente rematar al tener espacios."",""Utilizar al Comodín para generar superioridad numérica y posicional."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal."",""Bloquear el tiro."",""Compensar.""]",,"[""Siempre se inicia desde el comodín."",""No hay limites de toques."",""No existe fuera de juego.""]"
65,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:17.382674+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p16_Dinamica_4_vs_4_2AC.jpg,,Dinámica 4 vs 4 + 2AC,abierta,Se enfrentan 2 equipos de 4 jugadores + Arquero comodín. El equipo en posesión intentará llegar a espacios con balón dominado o con situaciones de desmarques en los portales. Se trabajarán comportamientos defensivos y ofensivos.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Separarse."",""Aparecer / no estar.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 2-1-1 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
66,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:41.860949+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p17_Dinamica_4_vs_4_2A.jpg,,Dinámica 4 vs 4 + 2A,abierta,Se enfrentan 2 equipos de 4 jugadores + Arquero comodín. El equipo en posesión intentará llegar a espacios con balón dominado o con situaciones de desmarques buscando finalizar la jugada en los arcos. Se trabajarán comportamientos defensivos y ofensivos.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Separarse."",""Aparecer / no estar."",""Remate al arco.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante."",""Defender rebote y a su arquero.""]","[""Ofensivamente estar en estructura 2-1-1 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
67,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:27.935142+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p18_Dinamica_4_vs_4_2A_profundo.jpg,,Dinámica 4 vs 4 + 2A profundo,abierta,Se enfrentan 2 equipos de 4 jugadores + Arquero comodín y un portero en la zona posterior para enfrentar la finalización. El equipo en posesión intentará llegar a espacios y una vez ingresando al área debe buscar finalizar la jugada.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Separarse."",""Aparecer / no estar."",""Remate a portería.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 2-1-1 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Se inicia desde el arquero situado en área pequeña."",""No hay limites de toques."",""No existe fuera de juego.""]"
